"Folder Name","Folder Path","File name","Download Link","Preview Link","File Size","Created At","Image Link"
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0222-77.jpg","https://drive.google.com/uc?id=1XVjNOqg_Yyu4_2nPePgd-d5qk5lq6VQQ&export=download","https://drive.google.com/uc?id=1XVjNOqg_Yyu4_2nPePgd-d5qk5lq6VQQ&export=view","10.24 MB","August 13, 2023 at 9:18:22 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0221-76.jpg","https://drive.google.com/uc?id=1ChTmwwzDDMlilA0Obpej_teHwyRcavy2&export=download","https://drive.google.com/uc?id=1ChTmwwzDDMlilA0Obpej_teHwyRcavy2&export=view","10.01 MB","August 13, 2023 at 9:18:16 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0220-75.jpg","https://drive.google.com/uc?id=1qRCyzbf_fs-h2GONxuobzYjjeh9Z9H7S&export=download","https://drive.google.com/uc?id=1qRCyzbf_fs-h2GONxuobzYjjeh9Z9H7S&export=view","10.6 MB","August 13, 2023 at 9:18:10 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0219-74.jpg","https://drive.google.com/uc?id=1qK3dK6lLpPdp9NvBahEcq5D3ixmdeDU5&export=download","https://drive.google.com/uc?id=1qK3dK6lLpPdp9NvBahEcq5D3ixmdeDU5&export=view","10.32 MB","August 13, 2023 at 9:18:04 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0218-73.jpg","https://drive.google.com/uc?id=1MyY5ptWS34NwAoFNxgQfP8bdjICMlkBo&export=download","https://drive.google.com/uc?id=1MyY5ptWS34NwAoFNxgQfP8bdjICMlkBo&export=view","9.58 MB","August 13, 2023 at 9:17:57 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0217-72.jpg","https://drive.google.com/uc?id=1c8V5gtz8-ncOAc9vQrDe0PFb3b8ZVqDm&export=download","https://drive.google.com/uc?id=1c8V5gtz8-ncOAc9vQrDe0PFb3b8ZVqDm&export=view","10.11 MB","August 13, 2023 at 9:17:52 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0213-70.jpg","https://drive.google.com/uc?id=1rs_DaspNYKXEnXgw0e1CyaLJAwROwV4n&export=download","https://drive.google.com/uc?id=1rs_DaspNYKXEnXgw0e1CyaLJAwROwV4n&export=view","10.11 MB","August 13, 2023 at 9:17:42 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0209-69.jpg","https://drive.google.com/uc?id=1w_p4Nxy8rh70ymGEj6ngQoAyCNZ1ssKz&export=download","https://drive.google.com/uc?id=1w_p4Nxy8rh70ymGEj6ngQoAyCNZ1ssKz&export=view","9.86 MB","August 13, 2023 at 9:17:36 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0216-71.jpg","https://drive.google.com/uc?id=1DzENnIdYq9MJTauNu2Kgv_3UkB7PxtFG&export=download","https://drive.google.com/uc?id=1DzENnIdYq9MJTauNu2Kgv_3UkB7PxtFG&export=view","9.22 MB","August 13, 2023 at 9:17:46 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0208-68.jpg","https://drive.google.com/uc?id=1dkufkABEjeBsaCOukQVNgbkFYJtHAhw7&export=download","https://drive.google.com/uc?id=1dkufkABEjeBsaCOukQVNgbkFYJtHAhw7&export=view","8.8 MB","August 13, 2023 at 9:17:31 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0207-67.jpg","https://drive.google.com/uc?id=1gSf-HEHMYv8tesLddRYpfv8jzQ-a0OvV&export=download","https://drive.google.com/uc?id=1gSf-HEHMYv8tesLddRYpfv8jzQ-a0OvV&export=view","9.4 MB","August 13, 2023 at 9:17:26 PM",""
"SAMANTHA PHOTOSHOOT 08.08.23","Shared with me > SAMANTHA PHOTOSHOOT 08.08.23","DSC_0190-66.jpg","https://drive.google.com/uc?id=1zwRXBUyMgk478g7C4W8_SVGhEqvCOJQY&export=download","https://drive.google.com/uc?id=1zwRXBUyMgk478g7C4W8_SVGhEqvCOJQY&export=view","8.4 MB","August 13, 2023 at 9:17:21 PM",""
